,episode_length,episode_reward
690,63,-62.0
691,101,-100.0
692,79,-78.0
693,75,-74.0
694,101,-100.0
695,95,-94.0
696,79,-78.0
697,98,-97.0
698,77,-76.0
699,95,-94.0
700,103,-102.0
701,74,-73.0
702,108,-107.0
703,75,-74.0
704,70,-69.0
705,94,-93.0
706,159,-158.0
707,103,-102.0
708,75,-74.0
709,105,-104.0
710,91,-90.0
711,70,-69.0
712,85,-84.0
713,78,-77.0
714,102,-101.0
715,87,-86.0
716,102,-101.0
717,104,-103.0
718,108,-107.0
719,101,-100.0
720,110,-109.0
721,77,-76.0
722,82,-81.0
723,100,-99.0
724,71,-70.0
725,96,-95.0
726,74,-73.0
727,233,-232.0
728,63,-62.0
729,74,-73.0
730,202,-201.0
731,86,-85.0
732,115,-114.0
733,76,-75.0
734,184,-183.0
735,100,-99.0
736,90,-89.0
737,90,-89.0
738,78,-77.0
739,88,-87.0
740,87,-86.0
741,92,-91.0
742,82,-81.0
743,76,-75.0
744,98,-97.0
745,210,-209.0
746,103,-102.0
747,92,-91.0
748,79,-78.0
749,77,-76.0
750,104,-103.0
751,114,-113.0
752,73,-72.0
753,101,-100.0
754,106,-105.0
755,106,-105.0
756,87,-86.0
757,74,-73.0
758,115,-114.0
759,91,-90.0
760,94,-93.0
761,83,-82.0
762,85,-84.0
763,71,-70.0
764,79,-78.0
765,83,-82.0
766,71,-70.0
767,80,-79.0
768,98,-97.0
769,90,-89.0
770,81,-80.0
771,155,-154.0
772,113,-112.0
773,91,-90.0
774,112,-111.0
775,88,-87.0
776,98,-97.0
777,99,-98.0
778,76,-75.0
779,99,-98.0
780,90,-89.0
781,69,-68.0
782,75,-74.0
783,100,-99.0
784,72,-71.0
785,75,-74.0
786,70,-69.0
787,88,-87.0
788,128,-127.0
789,108,-107.0
790,106,-105.0
791,84,-83.0
792,85,-84.0
793,64,-63.0
794,82,-81.0
795,79,-78.0
796,83,-82.0
797,64,-63.0
798,98,-97.0
799,84,-83.0
800,88,-87.0
801,81,-80.0
802,67,-66.0
803,94,-93.0
804,70,-69.0
805,92,-91.0
806,86,-85.0
807,87,-86.0
808,103,-102.0
809,83,-82.0
810,64,-63.0
811,85,-84.0
812,88,-87.0
813,85,-84.0
814,73,-72.0
815,105,-104.0
816,82,-81.0
817,102,-101.0
818,89,-88.0
819,77,-76.0
820,98,-97.0
821,114,-113.0
822,88,-87.0
823,78,-77.0
824,85,-84.0
825,71,-70.0
826,86,-85.0
827,104,-103.0
828,93,-92.0
829,107,-106.0
830,70,-69.0
831,93,-92.0
832,76,-75.0
833,92,-91.0
834,156,-155.0
835,83,-82.0
836,74,-73.0
837,92,-91.0
838,83,-82.0
839,90,-89.0
840,84,-83.0
841,101,-100.0
842,84,-83.0
843,87,-86.0
844,125,-124.0
845,87,-86.0
846,85,-84.0
847,75,-74.0
848,93,-92.0
849,91,-90.0
850,75,-74.0
851,63,-62.0
852,69,-68.0
853,87,-86.0
854,83,-82.0
855,92,-91.0
856,91,-90.0
857,93,-92.0
858,93,-92.0
859,86,-85.0
860,69,-68.0
861,70,-69.0
862,76,-75.0
863,98,-97.0
864,74,-73.0
865,85,-84.0
866,89,-88.0
867,91,-90.0
868,73,-72.0
869,99,-98.0
870,106,-105.0
871,80,-79.0
872,92,-91.0
873,80,-79.0
874,86,-85.0
875,100,-99.0
876,95,-94.0
877,81,-80.0
878,102,-101.0
879,86,-85.0
880,90,-89.0
881,76,-75.0
882,91,-90.0
883,86,-85.0
884,102,-101.0
885,80,-79.0
886,93,-92.0
887,107,-106.0
888,92,-91.0
889,71,-70.0
890,74,-73.0
891,75,-74.0
892,86,-85.0
893,103,-102.0
894,73,-72.0
895,109,-108.0
896,72,-71.0
897,75,-74.0
898,94,-93.0
899,88,-87.0
900,86,-85.0
901,94,-93.0
902,119,-118.0
903,97,-96.0
904,76,-75.0
905,82,-81.0
906,116,-115.0
907,85,-84.0
908,92,-91.0
909,76,-75.0
910,80,-79.0
911,75,-74.0
912,91,-90.0
913,86,-85.0
914,107,-106.0
915,109,-108.0
916,97,-96.0
917,90,-89.0
918,88,-87.0
919,104,-103.0
920,87,-86.0
921,75,-74.0
