,episode_length,episode_reward
189,85,-294.4100725878626
190,85,-298.7983045556649
191,143,-230.08270333201793
192,125,-284.92141681124434
193,85,-361.3332184314413
194,148,-226.48696102294014
195,142,-463.1102868114731
196,128,-206.7010765049117
197,131,-200.51641670519163
198,155,-253.86491779386327
199,122,-199.7421646743165
200,243,-290.84688345156906
201,139,-426.6282808213132
202,99,-281.0744233333059
203,148,-495.9187972918164
204,109,-182.484516400945
205,90,-323.92920206235306
206,92,-406.2597767779885
207,151,-219.3423103463466
208,177,-197.81784165402098
209,123,-181.4727685696501
210,106,-185.29198530408928
211,153,-213.6238583809402
212,209,-269.3353190346859
213,360,-299.2947478784953
214,83,-322.94796277735196
215,139,-190.1539482949422
216,355,-313.2487722047945
217,105,-381.86938237773984
218,515,-340.8053037230028
219,367,-312.8348513329915
220,370,-312.0548891218243
221,284,-291.3396480573206
222,719,-401.05350847133013
223,102,-310.5440326256538
224,104,-165.795807648058
225,130,-408.94427742463154
226,57,-157.8093075110227
227,1000,-254.95515998258014
228,120,-476.00332658068794
229,236,-330.2418576427501
230,1000,-223.73341489819143
231,782,-388.71067206280145
232,490,-329.3809070425596
233,69,-212.44903093836706
234,777,-415.4464770123424
235,724,-392.6629531787505
236,757,-393.28331750783815
237,789,-375.30838282348054
238,407,-323.3536896365588
239,143,-335.4036469767281
240,633,-307.72638313010253
241,95,-324.7309337771019
242,556,-270.8487687241826
243,1000,-276.0217604205448
244,1000,-246.1756577122209
245,1000,-250.2714558436171
246,1000,-247.69293998224182
247,193,-307.2902028798818
248,1000,-263.0393679134097
249,67,-210.97546459715153
250,110,-169.5228638227431
251,94,-329.5793982695677
252,1000,-281.8423996474478
253,1000,-193.6669001759196
254,1000,-209.86837984930514
255,91,-286.3929015465721
256,153,-399.7489193092628
257,1000,-206.17150349749605
258,1000,-181.53749224655195
259,1000,-234.03857796190903
260,1000,-171.17489728425866
261,1000,-198.39904626983392
262,1000,-162.51516296142702
263,1000,-148.99900854098846
264,177,-353.0894684279425
265,100,-179.68240768424454
266,121,-342.36979269267295
267,1000,-162.77506411811046
268,1000,-165.1242029427854
269,126,-295.03121170673296
270,1000,-176.5585185352358
271,130,-246.65087653543102
272,1000,-158.0024750076727
273,1000,-133.85857328453866
274,128,-281.13368365021233
275,110,-347.51699181564317
276,90,-238.9113214113448
277,107,-336.6020141963253
278,93,-244.48712449181943
279,1000,-145.88972259877204
280,97,-358.636425198419
281,1000,-183.98544835233056
282,1000,-147.31612226871678
283,1000,-136.77925269617717
284,138,-451.81210129310807
285,1000,-144.45069107562472
286,94,-195.9964953260161
287,1000,-142.59221014653218
288,1000,-150.59564087389134
289,149,-381.50719021437624
290,1000,-149.1840613157621
291,108,-337.38730820795513
292,1000,-154.26772193612746
293,1000,-131.6771999153461
294,1000,-122.86677933571411
295,1000,-112.51103667474977
296,90,-192.48662171796948
297,1000,-187.8407149049574
298,1000,-197.09296341115075
299,1000,-130.5963276892757
300,150,-304.1983313964605
301,1000,-145.26646951771403
302,1000,-129.78463580607712
303,1000,-175.44350506378447
304,1000,-156.3635301480172
305,1000,-117.94512880216254
306,946,-229.76870277148092
307,1000,-148.10604504383596
308,142,-354.32696135830054
309,978,-231.69346114294308
310,1000,-108.77572692635599
311,954,-221.99362320201095
312,96,-210.64392675973127
313,127,-224.37904296566268
314,101,-264.99052674926645
315,636,-170.89109734927365
316,831,-157.94956386307
317,853,-185.77357928401193
318,562,-152.74675756512423
319,629,-184.5167424678535
320,753,-186.39470537783797
321,522,-168.1073903856622
322,111,-265.98693089029433
323,89,-222.92152458306305
324,107,-240.6777358790293
325,566,-153.99458005712685
326,537,-194.1861227227292
327,440,-192.53290681238036
328,420,-154.51448280093257
329,235,-116.65313766219374
330,92,-230.00145044010733
331,121,-261.04140775197465
332,97,-218.5546973105441
333,544,-140.23498314046702
334,401,-188.95430124826493
335,447,-138.26428907924242
336,515,-164.1518452196774
337,450,-153.71431961658828
338,303,-152.9426026508342
339,217,-115.71372670633848
340,342,-142.32358752266975
341,557,-213.47958059234952
342,440,-177.38727577478315
343,272,-141.31838826871441
344,292,-157.607651105261
345,607,-179.6353624633884
346,340,-190.0457848512035
347,219,-136.62877395579483
348,247,-150.76699454342187
349,96,-278.0684276057368
350,658,-225.2180098034563
351,193,-119.57492334684952
352,90,-199.30612272486252
353,341,-179.01429166521808
354,275,-155.59975221784492
355,329,-186.248748419324
356,1000,-145.90234619474822
357,799,-260.7502067351048
358,529,-166.86544464208401
359,112,-134.71173546100965
360,387,-167.1490583397458
361,101,-215.7601673240207
362,215,-118.83732071038281
363,384,-206.96293590413478
364,233,-140.69053495386947
365,498,-254.6160077441583
366,213,-106.75319648995753
367,186,-195.2022852752388
368,931,-304.96376546329736
369,751,-225.24926430575192
370,103,-216.79327289010504
371,402,-204.88245127049592
372,83,-355.0679751074974
373,268,-146.99072032670267
374,566,-192.50306410761056
375,144,-121.80437086196402
376,189,-127.90081712493692
377,175,-63.66492311046004
378,322,-90.98011219527096
379,94,-185.91272873440568
380,201,-72.68965258852481
381,407,-160.24621824296162
382,367,-132.13193654483973
383,240,-69.83639390115478
384,229,-105.20315105688829
385,1000,-181.06926685098318
386,527,-260.11375143491193
387,269,-184.47566817131286
388,665,-290.30114428232923
389,401,-241.43282374778636
390,285,-105.87366006360183
391,478,-240.7058716181656
392,362,-206.80286948634824
393,145,7.684021495392102
394,139,-149.40202664218464
395,323,-200.6773879792251
396,629,-219.19317885657063
397,347,-203.43342247661585
398,167,-195.96674796553197
399,414,-208.71342131081803
400,160,-174.5131324413838
401,98,-172.22626828464044
402,648,141.5852205795572
403,369,-217.88308132007427
404,336,-204.28991586396197
405,335,-220.7552355698536
406,189,-175.8634353758712
407,399,-214.00214986317042
408,196,-203.14250971501303
409,388,204.48680049267142
410,256,-202.32250831078957
411,98,-227.80594142504066
412,322,-97.21021737287963
413,254,-202.22069785735948
414,224,-239.79816239480388
415,204,-211.26003439752407
416,143,-180.12614725379927
417,288,-220.10004284539457
418,300,-210.33764905521048
419,198,-217.47239329272423
420,192,-184.99266102591383
